Title,URL,ID,Difficulty,Paid
Find the Largest Palindrome Divisible by K,https://leetcode.com/problems/find-the-largest-palindrome-divisible-by-k,3260,3,False
Maximum Value Sum by Placing Three Rooks I,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-i,3256,3,False
Count Substrings That Satisfy K-Constraint II,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-ii,3261,3,False
Count Substrings That Satisfy K-Constraint I,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-i,3258,1,False
Maximum Value Sum by Placing Three Rooks II,https://leetcode.com/problems/maximum-value-sum-by-placing-three-rooks-ii,3257,3,False
Find the Count of Monotonic Pairs II,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-ii,3251,3,False
Find the Count of Monotonic Pairs I,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i,3250,3,False
Snake in Matrix,https://leetcode.com/problems/snake-in-matrix,3248,1,False
Time Taken to Mark All Nodes,https://leetcode.com/problems/time-taken-to-mark-all-nodes,3241,3,False
Odd and Even Transactions,https://leetcode.com/problems/odd-and-even-transactions,3220,2,False
Alternating Groups III,https://leetcode.com/problems/alternating-groups-iii,3245,3,False
Minimum Number of Flips to Make Binary Grid Palindromic I,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-i,3239,2,False
Maximum Energy Boost From Two Drinks,https://leetcode.com/problems/maximum-energy-boost-from-two-drinks,3259,2,False
Minimum Number of Flips to Make Binary Grid Palindromic II,https://leetcode.com/problems/minimum-number-of-flips-to-make-binary-grid-palindromic-ii,3240,2,False
Find the Power of K-Size Subarrays II,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-ii,3255,2,False
Find the Power of K-Size Subarrays I,https://leetcode.com/problems/find-the-power-of-k-size-subarrays-i,3254,2,False
Find the Number of Winning Players,https://leetcode.com/problems/find-the-number-of-winning-players,3238,1,False
Shortest Distance After Road Addition Queries I,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-i,3243,2,False
Design Neighbor Sum Service,https://leetcode.com/problems/design-neighbor-sum-service,3242,1,False
Find if Digit Game Can Be Won,https://leetcode.com/problems/find-if-digit-game-can-be-won,3232,1,False
Shortest Distance After Road Addition Queries II,https://leetcode.com/problems/shortest-distance-after-road-addition-queries-ii,3244,3,False
Find the Winning Player in Coin Game,https://leetcode.com/problems/find-the-winning-player-in-coin-game,3222,1,False
Number of Bit Changes to Make Two Integers Equal,https://leetcode.com/problems/number-of-bit-changes-to-make-two-integers-equal,3226,1,False
Find the Count of Numbers Which Are Not Special,https://leetcode.com/problems/find-the-count-of-numbers-which-are-not-special,3233,2,False
Delete Nodes From Linked List Present in Array,https://leetcode.com/problems/delete-nodes-from-linked-list-present-in-array,3217,2,False
Minimum Cost for Cutting Cake II,https://leetcode.com/problems/minimum-cost-for-cutting-cake-ii,3219,3,False
Minimum Array Changes to Make Differences Equal,https://leetcode.com/problems/minimum-array-changes-to-make-differences-equal,3224,2,False
Minimum Cost for Cutting Cake I,https://leetcode.com/problems/minimum-cost-for-cutting-cake-i,3218,2,False
Maximum Number of Operations to Move Ones to the End,https://leetcode.com/problems/maximum-number-of-operations-to-move-ones-to-the-end,3228,2,False
Count Submatrices With Equal Frequency of X and Y,https://leetcode.com/problems/count-submatrices-with-equal-frequency-of-x-and-y,3212,2,False
Find the Maximum Length of Valid Subsequence II,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-ii,3202,2,False
Find the Maximum Length of Valid Subsequence I,https://leetcode.com/problems/find-the-maximum-length-of-valid-subsequence-i,3201,2,False
Count the Number of Good Nodes,https://leetcode.com/problems/count-the-number-of-good-nodes,3249,2,False
Lexicographically Smallest String After a Swap,https://leetcode.com/problems/lexicographically-smallest-string-after-a-swap,3216,1,False
Alternating Groups II,https://leetcode.com/problems/alternating-groups-ii,3208,2,False
Construct String with Minimum Cost,https://leetcode.com/problems/construct-string-with-minimum-cost,3213,3,False
Count the Number of Substrings With Dominant Ones,https://leetcode.com/problems/count-the-number-of-substrings-with-dominant-ones,3234,2,False
Check if the Rectangle Corner Is Reachable,https://leetcode.com/problems/check-if-the-rectangle-corner-is-reachable,3235,3,False
Minimum Operations to Make Binary Array Elements Equal to One II,https://leetcode.com/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-ii,3192,2,False
Find Minimum Operations to Make All Elements Divisible by Three,https://leetcode.com/problems/find-minimum-operations-to-make-all-elements-divisible-by-three,3190,1,False
Minimum Operations to Make Binary Array Elements Equal to One I,https://leetcode.com/problems/minimum-operations-to-make-binary-array-elements-equal-to-one-i,3191,2,False
Minimum Average of Smallest and Largest Elements,https://leetcode.com/problems/minimum-average-of-smallest-and-largest-elements,3194,1,False
Maximum Score From Grid Operations,https://leetcode.com/problems/maximum-score-from-grid-operations,3225,3,False
Maximum Height of a Triangle,https://leetcode.com/problems/maximum-height-of-a-triangle,3200,1,False
Find the Encrypted String,https://leetcode.com/problems/find-the-encrypted-string,3210,1,False
Number of Subarrays With AND Value of K,https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k,3209,3,False
Maximize Total Cost of Alternating Subarrays,https://leetcode.com/problems/maximize-total-cost-of-alternating-subarrays,3196,2,False
Alternating Groups I,https://leetcode.com/problems/alternating-groups-i,3206,1,False
Vowels Game in a String,https://leetcode.com/problems/vowels-game-in-a-string,3227,2,False
Find the Minimum Area to Cover All Ones I,https://leetcode.com/problems/find-the-minimum-area-to-cover-all-ones-i,3195,2,False
Count the Number of Inversions,https://leetcode.com/problems/count-the-number-of-inversions,3193,3,False
Find the Minimum Area to Cover All Ones II,https://leetcode.com/problems/find-the-minimum-area-to-cover-all-ones-ii,3197,3,False
Find the Maximum Length of a Good Subsequence I,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-i,3176,2,False
Minimum Length of String After Operations,https://leetcode.com/problems/minimum-length-of-string-after-operations,3223,2,False
Minimum Operations to Make Array Equal to Target,https://leetcode.com/problems/minimum-operations-to-make-array-equal-to-target,3229,3,False
Generate Binary Strings Without Adjacent Zeros,https://leetcode.com/problems/generate-binary-strings-without-adjacent-zeros,3211,2,False
Find the Maximum Length of a Good Subsequence II,https://leetcode.com/problems/find-the-maximum-length-of-a-good-subsequence-ii,3177,3,False
String Compression III,https://leetcode.com/problems/string-compression-iii,3163,2,False
Find the Child Who Has the Ball After K Seconds,https://leetcode.com/problems/find-the-child-who-has-the-ball-after-k-seconds,3178,1,False
Clear Digits,https://leetcode.com/problems/clear-digits,3174,1,False
Find the Number of Good Pairs I,https://leetcode.com/problems/find-the-number-of-good-pairs-i,3162,1,False
Lexicographically Minimum String After Removing Stars,https://leetcode.com/problems/lexicographically-minimum-string-after-removing-stars,3170,2,False
Find the Number of Good Pairs II,https://leetcode.com/problems/find-the-number-of-good-pairs-ii,3164,2,False
Maximum Total Reward Using Operations II,https://leetcode.com/problems/maximum-total-reward-using-operations-ii,3181,3,False
Maximum Total Reward Using Operations I,https://leetcode.com/problems/maximum-total-reward-using-operations-i,3180,2,False
Find Minimum Diameter After Merging Two Trees,https://leetcode.com/problems/find-minimum-diameter-after-merging-two-trees,3203,3,False
Peaks in Array,https://leetcode.com/problems/peaks-in-array,3187,3,False
Maximum Total Damage With Spell Casting,https://leetcode.com/problems/maximum-total-damage-with-spell-casting,3186,2,False
Find Subarray With Bitwise OR Closest to K,https://leetcode.com/problems/find-subarray-with-bitwise-or-closest-to-k,3171,3,False
Block Placement Queries,https://leetcode.com/problems/block-placement-queries,3161,3,False
